# Z:/fernerkundung/work/jakob45/RikolaTestdata/Panel_specliball (PSR-3500_SN1456045_00005.sed:C2)
862.799988 5.058900
863.900024 5.059000
865.099976 5.058400
866.200012 5.055000
867.400024 5.051500
868.500000 5.049200
869.700012 5.052200
870.799988 5.046800
871.900024 5.046200
873.099976 5.044900
874.200012 5.044300
875.400024 5.045600
876.500000 5.047500
877.599976 5.042300
878.799988 5.036500
879.900024 5.040300
881.000000 5.042200
882.200012 5.040200
883.299988 5.044900
884.400024 5.041500
885.500000 5.035400
886.599976 5.040800
887.799988 5.042100
888.900024 5.033800
890.000000 5.037100
891.099976 5.038400
892.200012 5.034100
893.299988 5.031000
894.400024 5.037400
895.599976 5.035200
896.700012 5.033000
897.799988 5.041100
898.900024 5.041100
900.000000 5.036900
901.099976 5.034900
902.200012 5.033600
903.299988 5.031500
904.400024 5.035100
905.400024 5.035800
906.500000 5.036500
907.599976 5.028300
908.700012 5.037900
909.799988 5.033100
910.900024 5.030400
912.000000 5.029700
913.000000 5.031000
914.099976 5.028200
915.200012 5.023300
916.299988 5.029500
917.299988 5.024500
918.400024 5.027200
919.500000 5.034200
920.599976 5.027000
921.599976 5.023300
922.700012 5.026000
923.700012 5.020700
924.799988 5.027700
925.900024 5.022300
926.900024 5.031100
928.000000 5.031600
929.000000 5.024400
930.099976 5.031900
931.099976 5.026800
932.200012 5.026400
933.200012 5.031000
934.299988 5.030700
935.299988 5.031300
936.299988 5.032800
937.400024 5.029900
938.400024 5.033300
939.400024 5.033100
940.500000 5.033000
941.500000 5.037600
942.500000 5.035500
943.500000 5.038300
944.599976 5.035200
945.599976 5.041100
946.599976 5.038900
947.599976 5.037700
948.599976 5.046200
949.700012 5.034100
950.700012 5.033900
951.700012 5.029000
952.700012 5.027500
953.700012 5.046200
954.700012 5.032800
955.700012 5.036200
956.700012 5.034700
957.700012 5.035800
958.700012 5.042200
959.700012 5.031200
960.599976 5.036400
961.000000 5.032300
961.599976 5.026200
962.599976 5.040300
963.599976 5.034200
964.599976 5.029300
965.000000 5.036100
965.500000 5.044600
966.500000 5.028500
967.500000 5.041200
968.500000 5.049600
969.000000 5.045800
969.400024 5.042700
970.400024 5.040900
971.299988 5.042600
972.299988 5.040600
972.900024 5.040500
973.299988 5.040500
974.200012 5.038400
975.200012 5.054200
976.099976 5.050300
976.900024 5.048700
977.099976 5.048300
978.000000 5.054900
978.900024 5.032700
979.900024 5.041500
980.799988 5.031800
980.900024 5.033000
981.799988 5.043700
