# Z:/fernerkundung/work/jakob45/RikolaTestdata/Panel_specliball (PSR-3500_SN1456045_00004.sed:C2)
2108.800049 19.003300
2111.399902 19.032800
2114.000000 19.009800
2116.600098 19.015600
2119.100098 19.050200
2121.699951 19.033400
2124.300049 19.028900
2126.899902 19.023300
2129.500000 19.025500
2132.100098 19.018300
2134.600098 18.955400
2137.199951 18.917100
2139.800049 18.900600
2142.300049 18.884000
2144.899902 18.861200
2147.500000 18.854300
2150.000000 18.849200
2152.600098 18.841900
2155.100098 18.882200
2157.699951 18.821300
2160.199951 18.726300
2162.800049 18.720600
2165.300049 18.682600
2167.899902 18.605300
2170.399902 18.568100
2173.000000 18.510600
2175.500000 18.446400
2178.000000 18.435900
2180.500000 18.391100
2183.100098 18.321900
2185.600098 18.284000
2188.100098 18.245400
2190.600098 18.168500
2193.199951 18.071600
2195.699951 17.991500
2198.199951 17.941200
2200.699951 17.885200
2203.199951 17.836500
2205.699951 17.708200
2208.199951 17.594300
2210.699951 17.560300
2213.199951 17.500600
2215.699951 17.398900
2218.199951 17.287000
2220.699951 17.161700
2223.100098 17.030100
2225.600098 16.825600
2228.100098 16.663600
2230.600098 16.516300
2233.100098 16.313700
2235.500000 16.093100
2238.000000 15.880800
2240.500000 15.658200
2242.899902 15.428200
2245.399902 15.163200
2247.899902 14.868500
2250.300049 14.588700
2252.800049 14.326100
2255.199951 14.079000
2257.699951 13.816100
2260.100098 13.570700
2262.600098 13.313400
2265.000000 13.040200
2267.399902 12.710900
2269.899902 12.325700
2272.300049 11.896100
2274.699951 11.481500
2277.199951 11.094400
2279.600098 10.635200
2282.000000 10.239300
2284.399902 9.795800
2286.800049 9.292700
2289.300049 8.888800
2291.699951 8.503900
2294.100098 8.079700
2296.500000 7.719500
2298.899902 7.356500
2301.300049 6.970100
2303.699951 6.616700
2306.100098 6.202400
2308.500000 5.941700
2310.899902 5.895100
2313.300049 5.952800
2315.699951 6.319600
2318.000000 6.862600
2320.399902 7.275700
2322.800049 7.615700
2325.199951 7.848600
2327.600098 7.994800
2329.899902 8.044700
2332.300049 8.049100
2334.699951 8.059500
2337.000000 8.050500
2339.399902 8.101400
2341.699951 8.060000
2344.100098 7.900700
2346.399902 7.754600
2348.800049 7.517100
2351.100098 7.354700
2353.500000 7.345200
2355.800049 7.360300
2358.199951 7.463800
2360.500000 7.502100
2362.800049 7.417800
2365.199951 7.462800
2367.500000 7.448800
2369.800049 7.348600
2372.199951 7.405000
2374.500000 7.483600
2376.800049 7.472200
2379.100098 7.439100
2381.399902 7.589600
2383.699951 7.864100
2386.000000 7.878100
2388.300049 7.892500
2390.699951 7.919600
2393.000000 7.886900
2395.199951 7.853100
2397.500000 7.761400
2399.800049 7.838800
2402.100098 7.933400
2404.399902 7.971500
2406.699951 8.109100
2409.000000 8.195500
2411.300049 8.304800
2413.500000 8.580700
2415.800049 8.726000
2418.100098 8.831100
2420.399902 9.012300
2422.600098 8.992200
2424.899902 8.955600
2427.100098 9.138100
2429.399902 9.300600
2431.699951 9.173600
2433.899902 9.140100
2436.199951 9.258400
2438.399902 9.256100
2440.699951 9.295600
2442.899902 9.471900
2445.100098 9.460600
2447.399902 9.401400
2449.600098 9.514400
2451.800049 9.460600
2454.100098 9.448100
2456.300049 9.479700
2458.500000 9.402200
2460.699951 9.573600
2463.000000 9.908500
2465.199951 10.158500
2467.399902 10.254200
2469.600098 10.210300
2471.800049 10.405200
2474.000000 10.545500
2476.199951 10.469300
2478.399902 10.346300
2480.600098 10.422700
2482.800049 10.793400
2485.000000 10.737200
2487.199951 10.569000
2489.399902 10.859200
2491.600098 11.004800
2493.800049 10.814700
2495.899902 11.026500
2498.100098 11.102200
2500.300049 10.934800
2502.500000 11.153500
2504.600098 11.687200

